id,country,car,currency
219,AR,Mitsubishi,ARS
220,CN,Nissan,CNY
221,YE,Pontiac,YER
222,MD,Pontiac,MDL
223,CU,Ford,CUP
224,EG,Oldsmobile,EGP
225,TN,Audi,TND
226,PH,Chevrolet,PHP
227,ID,Chevrolet,IDR
228,NO,Ford,NOK
229,CN,Volvo,CNY
230,ID,Subaru,IDR
231,ID,Chevrolet,IDR
232,CN,Pontiac,CNY
233,CN,Nissan,CNY
234,CZ,Toyota,CZK
235,ID,GMC,IDR
236,RS,Subaru,RSD
237,CN,BMW,CNY
238,CN,GMC,CNY
239,ID,Pontiac,IDR
240,CN,Chrysler,CNY
241,BA,Pontiac,BAM
242,MX,Mercedes-Benz,MXN
243,RU,Chevrolet,RUB
244,MX,Oldsmobile,MXN
245,CN,Ford,CNY
246,US,Mercury,USD
247,TD,Plymouth,XAF
248,VN,Land Rover,VND
249,CN,Ford,CNY
250,CI,Buick,XOF
251,RU,Pontiac,RUB
252,CN,Volvo,CNY
253,PH,Saturn,PHP
254,CN,Toyota,CNY
255,SE,Nissan,SEK
256,RU,Ford,RUB
257,PT,Mazda,EUR
258,SE,Jeep,SEK
259,MX,Toyota,MXN
260,ID,Mitsubishi,IDR
261,ID,Chrysler,IDR
262,RU,Cadillac,RUB
263,PT,Mazda,EUR
264,US,Mitsubishi,USD
265,RU,Chevrolet,RUB
266,ML,Maserati,XOF
267,ID,Mercury,IDR
268,HN,Oldsmobile,HNL
269,CN,Ford,CNY
270,CN,Ford,CNY
271,PT,BMW,EUR
272,PL,Infiniti,PLN
273,BR,Mazda,BRL
274,SE,Mercedes-Benz,SEK
275,PH,Buick,PHP
276,CN,Acura,CNY
277,CA,Dodge,CAD
278,CL,Porsche,CLP
279,SN,Mitsubishi,XOF
280,CN,BMW,CNY
281,ID,Toyota,IDR
282,GU,Acura,USD
283,RU,Mercury,RUB
284,PT,Dodge,EUR
285,CN,Land Rover,CNY
286,FR,Lexus,EUR
287,CN,Chevrolet,CNY
288,CN,Chrysler,CNY
289,CN,Audi,CNY
290,AR,Mercedes-Benz,ARS
291,PH,Audi,PHP
292,UA,Ford,UAH
293,ID,Ford,IDR
294,SE,Lexus,SEK
295,CN,Chevrolet,CNY
296,PL,Pontiac,PLN
297,FI,Chevrolet,EUR
298,BR,Audi,BRL
299,BG,Chevrolet,BGN
300,US,Volkswagen,USD
301,ID,Mazda,IDR
302,CN,Volvo,CNY
303,ID,Dodge,IDR
304,SV,Acura,USD
305,MA,Infiniti,MAD
306,CN,Chrysler,CNY
307,FR,Mercedes-Benz,EUR
308,PT,Toyota,EUR
309,CA,BMW,CAD
310,US,Isuzu,USD
311,NG,Toyota,NGN
312,ID,Dodge,IDR
313,TH,Dodge,THB
314,NG,Hyundai,NGN
315,BR,Mercury,BRL
316,CN,Porsche,CNY
317,EG,Buick,EGP
318,CN,GMC,CNY
319,PH,Mazda,PHP
320,ID,Fairthorpe,IDR
321,PL,Suzuki,PLN
322,PT,Volkswagen,EUR
323,CN,Rolls-Royce,CNY
324,US,GMC,USD
325,CO,Chrysler,COP
326,MN,Cadillac,MNT
327,GR,Toyota,EUR
328,ID,Subaru,IDR
329,LV,Land Rover,EUR
330,SE,Lexus,SEK
331,US,Pontiac,USD
332,US,Chrysler,USD
333,UA,Oldsmobile,UAH
334,CO,Ford,COP
335,MT,Volkswagen,EUR
336,AR,Fairthorpe,ARS
337,CN,Mercedes-Benz,CNY
338,PT,Eagle,EUR
339,ID,Mercedes-Benz,IDR
340,PL,GMC,PLN
341,PY,Buick,PYG
342,ID,Mercury,IDR
343,ID,Chevrolet,IDR
344,RU,Mercedes-Benz,RUB
345,PL,Pontiac,PLN
346,AR,Ford,ARS
347,CA,Mercedes-Benz,CAD
348,RU,Volkswagen,RUB
349,PL,Chevrolet,PLN
350,SE,Eagle,SEK
351,PS,Ford,ILS
352,UA,Jaguar,UAH
353,CN,Toyota,CNY
354,ID,Daewoo,IDR
355,US,Saturn,USD
356,ZM,Mazda,ZMW
357,TH,Jeep,THB
358,UA,Eagle,UAH
359,ID,Toyota,IDR
360,BR,Mazda,BRL
361,CR,Pontiac,CRC
362,CN,GMC,CNY
363,US,Pontiac,USD
364,MY,Dodge,MYR
365,CU,Aston Martin,CUP
366,PL,Lincoln,PLN
367,HR,Isuzu,HRK
368,CN,Audi,CNY
369,CN,Lexus,CNY
370,CN,Geo,CNY
371,PL,Toyota,PLN
372,SE,GMC,SEK
373,ID,Dodge,IDR
374,PH,Toyota,PHP
375,RU,Chevrolet,RUB
376,FR,Lincoln,EUR
377,CN,Ford,CNY
378,HN,GMC,HNL
379,PT,Dodge,EUR
380,SE,Cadillac,SEK
381,PL,Honda,PLN
382,JP,Toyota,JPY
383,US,Pontiac,USD
384,AR,Bentley,ARS
385,CN,Land Rover,CNY
386,SI,GMC,EUR
387,BR,Mazda,BRL
388,MU,Subaru,MUR
389,BG,Scion,BGN
390,CN,Toyota,CNY
391,IR,Dodge,IRR
392,PH,Mazda,PHP
393,UA,Ford,UAH
394,ID,GMC,IDR
395,TH,BMW,THB
396,PA,GMC,PAB
397,AR,Mazda,ARS
398,AT,Infiniti,EUR
399,DO,Chevrolet,DOP
400,CN,Buick,CNY
401,PH,Dodge,PHP
402,ID,Mitsubishi,IDR
403,BJ,Subaru,XOF
404,YE,Mazda,YER
405,NP,Ford,NPR
406,AO,Chevrolet,AOA
407,EG,Toyota,EGP
408,CN,Toyota,CNY
409,PH,Dodge,PHP
410,CN,Toyota,CNY
411,CN,Foose,CNY
412,ID,Buick,IDR
413,KR,Oldsmobile,KRW
414,RS,Ford,RSD
415,HR,GMC,HRK
416,PL,Toyota,PLN
417,CO,Mercedes-Benz,COP
418,FI,Hyundai,EUR
419,FR,Nissan,EUR
420,ID,Acura,IDR
421,CZ,Maserati,CZK
422,ID,Maybach,IDR
423,CZ,Bentley,CZK
424,AL,Infiniti,ALL
425,CN,GMC,CNY
426,BT,Mercedes-Benz,BTN
427,IE,Subaru,EUR
428,NL,Ford,EUR
429,RU,Mazda,RUB
430,CN,Dodge,CNY
431,FR,Subaru,EUR
432,PH,Citroën,PHP
433,CN,Chevrolet,CNY
434,CO,Suzuki,COP
435,AM,Mitsubishi,AMD
436,PL,Chevrolet,PLN
437,CN,BMW,CNY
438,SE,BMW,SEK
439,UZ,Mercury,UZS
440,UA,Kia,UAH
441,CN,Oldsmobile,CNY
442,GR,Subaru,EUR
443,SN,Chevrolet,XOF
444,CN,Mazda,CNY
445,PT,GMC,EUR
446,CN,Mitsubishi,CNY
447,PT,Toyota,EUR
448,BR,Toyota,BRL
449,RU,Chrysler,RUB
450,BR,Volkswagen,BRL
451,RU,Mazda,RUB
452,RU,Chevrolet,RUB
453,CN,Volkswagen,CNY
454,CN,Chevrolet,CNY
455,PE,Toyota,PEN
456,AR,Chevrolet,ARS
457,UA,GMC,UAH
458,ID,Volkswagen,IDR
459,TZ,Buick,TZS
460,FR,Ford,EUR
461,ID,Pontiac,IDR
462,NG,Mercury,NGN
463,CN,Mercedes-Benz,CNY
464,IR,Nissan,IRR
465,CN,Ferrari,CNY
466,ID,Chevrolet,IDR
467,GR,Mercury,EUR
468,CN,Geo,CNY
469,ZA,Mitsubishi,ZAR
470,CN,Cadillac,CNY
471,CZ,GMC,CZK
472,GR,Ford,EUR
473,CZ,Mitsubishi,CZK
474,SI,Ford,EUR
475,BR,Ford,BRL
476,PH,Isuzu,PHP
477,RU,Chevrolet,RUB
478,ID,Ford,IDR
479,CN,Chevrolet,CNY
480,RU,Nissan,RUB
481,ID,Cadillac,IDR
482,KP,Mazda,KPW
483,NG,Lexus,NGN
484,CN,Toyota,CNY
485,MX,Suzuki,MXN
486,AL,Mazda,ALL
487,CZ,Chevrolet,CZK
488,PL,Buick,PLN
489,UG,Mazda,UGX
490,CN,Chevrolet,CNY
491,ID,Toyota,IDR
492,PL,Chevrolet,PLN
493,HR,Lexus,HRK
494,RU,Eagle,RUB
495,CN,Chevrolet,CNY
496,RU,Dodge,RUB
497,PT,Mitsubishi,EUR
498,BR,Nissan,BRL
499,IR,Lexus,IRR
500,ID,Kia,IDR
501,PH,Hyundai,PHP
502,CN,Land Rover,CNY
503,PE,Jeep,PEN
504,CN,Mercedes-Benz,CNY
505,CN,Porsche,CNY
506,CN,Dodge,CNY
507,PT,Bentley,EUR
508,FR,Lexus,EUR
509,RU,Mitsubishi,RUB
510,FI,Hyundai,EUR
511,JP,GMC,JPY
512,BR,Saab,BRL
513,CN,Chrysler,CNY
514,KG,Mazda,KGS
515,RS,Kia,RSD
516,ID,Mercury,IDR
517,ID,Mitsubishi,IDR
518,PK,Saab,PKR
519,PT,Isuzu,EUR
520,PE,Infiniti,PEN
521,BR,BMW,BRL
522,CN,Land Rover,CNY
523,HN,Cadillac,HNL
524,CN,Pontiac,CNY
525,CN,Mazda,CNY
526,MK,Acura,MKD
527,PT,Kia,EUR
528,RU,Buick,RUB
529,AF,Subaru,AFN
530,ID,Volvo,IDR
531,JP,Mercury,JPY
532,IQ,Mazda,IQD
533,FR,Mazda,EUR
534,JP,Volkswagen,JPY
535,ID,Ford,IDR
536,MK,Smart,MKD
537,ID,Nissan,IDR
538,CN,Dodge,CNY
539,CO,BMW,COP
540,PL,Ford,PLN
541,RU,Acura,RUB
542,RU,Nissan,RUB
543,NE,Kia,XOF
544,HT,Volvo,HTG
545,BS,Volkswagen,BSD
546,CN,Pontiac,CNY
547,DK,Cadillac,DKK
548,BD,Jeep,BDT
549,CH,Honda,CHF
550,GT,Kia,GTQ
551,ID,Lexus,IDR
552,PH,Cadillac,PHP
553,ID,Mercury,IDR
554,IE,Mercury,EUR
555,CN,Buick,CNY
556,BG,Mazda,BGN
557,CN,Mazda,CNY
558,CN,Ford,CNY
559,CN,Chevrolet,CNY
560,EC,Audi,USD
561,ID,Chevrolet,IDR
562,ID,Ford,IDR
563,US,Mazda,USD
564,CN,Lexus,CNY
565,CN,Mercedes-Benz,CNY
566,ID,Mercedes-Benz,IDR
567,FR,Oldsmobile,EUR
568,NI,Chrysler,NIO
569,CN,Mercury,CNY
570,MD,Chevrolet,MDL
571,SE,Toyota,SEK
572,CN,Audi,CNY
573,US,Lotus,USD
574,AL,Volkswagen,ALL
575,BG,Chevrolet,BGN
576,PL,Pontiac,PLN
577,SV,Volkswagen,USD
578,ID,Honda,IDR
579,CN,Dodge,CNY
580,AZ,Hyundai,AZN
581,NP,Mitsubishi,NPR
582,PL,Mazda,PLN
583,CN,Toyota,CNY
584,FR,Chrysler,EUR
585,NG,Mitsubishi,NGN
586,SN,GMC,XOF
587,RU,Oldsmobile,RUB
588,BR,Mercedes-Benz,BRL
589,KR,Chevrolet,KRW
590,CN,Pontiac,CNY
591,CN,Ford,CNY
592,RU,Mazda,RUB
593,TZ,Subaru,TZS
594,CN,GMC,CNY
595,ID,Dodge,IDR
596,PL,Chevrolet,PLN
597,ET,Chrysler,ETB
598,RU,Pontiac,RUB
599,JP,Chrysler,JPY
600,MN,Mercury,MNT
601,JP,Mercedes-Benz,JPY
602,SY,Audi,SYP
603,UA,Volkswagen,UAH
604,CN,Kia,CNY
605,ID,Chevrolet,IDR
606,US,Audi,USD
607,US,Nissan,USD
608,PE,Ford,PEN
609,CN,Audi,CNY
610,ID,Maybach,IDR
611,PH,Jeep,PHP
612,JP,Mitsubishi,JPY
613,RU,Volkswagen,RUB
614,TZ,Jeep,TZS
615,PH,Ford,PHP
616,ID,Land Rover,IDR
617,US,Shelby,USD
618,ID,Pontiac,IDR
619,CN,Audi,CNY
620,ID,Lotus,IDR
621,ID,GMC,IDR
622,JP,Ford,JPY
623,BR,Lexus,BRL
624,CN,Ford,CNY
625,LT,Audi,LTL
626,AZ,Ford,AZN
627,PL,Toyota,PLN
628,CN,Lamborghini,CNY
629,ID,Toyota,IDR
630,SE,Saab,SEK
631,CU,Mercury,CUP
632,MU,Toyota,MUR
633,GR,Dodge,EUR
634,PL,Pontiac,PLN
635,SL,Mitsubishi,SLL
636,AZ,BMW,AZN
637,RU,Ford,RUB
638,VN,Dodge,VND
639,AF,Volkswagen,AFN
640,ID,Chevrolet,IDR
641,PE,Mazda,PEN
642,RU,Dodge,RUB
643,CN,Volvo,CNY
644,IE,Hyundai,EUR
645,CN,Chrysler,CNY
646,ID,Buick,IDR
647,ID,Mitsubishi,IDR
648,FR,Mercury,EUR
649,PT,Chrysler,EUR
650,HR,Ford,HRK
651,CO,Volvo,COP
652,VN,Ford,VND
653,CN,Pontiac,CNY
654,PH,Chevrolet,PHP
655,LU,Ford,EUR
656,ID,Lincoln,IDR
657,RU,Oldsmobile,RUB
658,CN,Pontiac,CNY
659,PH,Volkswagen,PHP
660,NG,GMC,NGN
661,CU,Mazda,CUP
662,PT,Mitsubishi,EUR
663,TJ,Mercury,TJS
664,CN,Acura,CNY
665,JP,Ford,JPY
666,SY,Mercedes-Benz,SYP
667,CN,Mercury,CNY
668,SE,Suzuki,SEK
669,YE,Hyundai,YER
670,RU,Subaru,RUB
671,AF,Porsche,AFN
672,HN,Dodge,HNL
673,CN,Volkswagen,CNY
674,HN,Ferrari,HNL
675,PT,Pontiac,EUR
676,NG,Mitsubishi,NGN
677,EC,Mitsubishi,USD
678,PS,Isuzu,ILS
679,CN,Chrysler,CNY
680,CN,Audi,CNY
681,ID,Toyota,IDR
682,RS,Chevrolet,RSD
683,SI,Volkswagen,EUR
684,PL,Volkswagen,PLN
685,SE,Ford,SEK
686,LA,Land Rover,LAK
687,ZM,Lamborghini,ZMW
688,MM,Dodge,MMK
689,CN,Chevrolet,CNY
690,MG,Kia,MGA
691,UA,Pontiac,UAH
692,BR,Pontiac,BRL
693,TZ,Mercedes-Benz,TZS
694,CN,Pontiac,CNY
695,CN,Ford,CNY
696,TJ,Ford,TJS
697,US,Hummer,USD
698,ID,Ford,IDR
699,ID,Honda,IDR
700,JP,Chrysler,JPY
701,ID,Dodge,IDR
702,US,Isuzu,USD
703,RU,Pontiac,RUB
704,UA,Porsche,UAH
705,AL,Subaru,ALL
706,CU,Jeep,CUP
707,RU,Nissan,RUB
708,SE,Pontiac,SEK
709,BR,Aston Martin,BRL
710,SE,Jaguar,SEK
711,FM,Buick,USD
712,NZ,Jaguar,NZD
713,RU,Chevrolet,RUB
714,MN,Pontiac,MNT
715,PH,Kia,PHP
716,MK,Mitsubishi,MKD
717,BR,BMW,BRL
718,AF,Mitsubishi,AFN
719,CZ,Mercedes-Benz,CZK
720,SV,Mercedes-Benz,USD
721,ZA,Honda,ZAR
722,GE,Saturn,GEL
723,SE,Hyundai,SEK
724,SE,Dodge,SEK
725,SE,Oldsmobile,SEK
726,PT,Toyota,EUR
727,ME,Chevrolet,EUR
728,IR,Ford,IRR
729,BR,Audi,BRL
730,CZ,Lincoln,CZK
731,PL,Kia,PLN
732,BO,Aston Martin,BOB
733,CN,Volvo,CNY
734,US,Kia,USD
735,CO,Chevrolet,COP
736,CN,Volvo,CNY
737,SE,Mitsubishi,SEK
738,DO,Toyota,DOP
739,TH,BMW,THB
740,CN,Dodge,CNY
741,BZ,Chevrolet,BZD
742,FR,Suzuki,EUR
743,HN,Subaru,HNL
744,PK,Jeep,PKR
745,JP,Suzuki,JPY
746,GR,Pontiac,EUR
747,CN,Dodge,CNY
748,SE,Volkswagen,SEK
749,UA,Isuzu,UAH
750,US,Audi,USD
751,PH,GMC,PHP
752,KM,Mitsubishi,KMF
753,AZ,Audi,AZN
754,CN,Volkswagen,CNY
755,CZ,Mazda,CZK
756,CN,Pontiac,CNY
757,CA,Isuzu,CAD
758,PT,Dodge,EUR
759,BA,Chevrolet,BAM
760,US,Toyota,USD
761,PL,GMC,PLN
762,BF,Mercedes-Benz,XOF
763,ID,Kia,IDR
764,FR,Mazda,EUR
765,EC,Mazda,USD
766,ID,Hummer,IDR
767,CN,Dodge,CNY
768,ID,Bentley,IDR
769,RU,Isuzu,RUB
770,US,Dodge,USD
771,ID,Nissan,IDR
772,BR,Subaru,BRL
773,CN,Mercury,CNY
774,MX,Toyota,MXN
775,RU,BMW,RUB
776,GR,GMC,EUR
777,BR,Mitsubishi,BRL
778,ID,Ford,IDR
779,PH,Toyota,PHP
780,TH,Audi,THB
781,ID,Lincoln,IDR
782,CN,Kia,CNY
783,RU,Toyota,RUB
784,TN,BMW,TND
785,CN,Buick,CNY
786,PL,Kia,PLN
787,ID,Porsche,IDR
788,SE,Chevrolet,SEK
789,CM,Toyota,XAF
790,US,Acura,USD
791,BR,Infiniti,BRL
792,BD,Infiniti,BDT
793,VN,Audi,VND
794,CN,Dodge,CNY
795,PL,Chevrolet,PLN
796,CN,Dodge,CNY
797,US,Lexus,USD
798,NL,GMC,EUR
799,AF,Dodge,AFN
800,PH,Mitsubishi,PHP
801,SE,Acura,SEK
802,CA,GMC,CAD
803,CU,Kia,CUP
804,BR,Audi,BRL
805,TH,Pontiac,THB
806,CN,Chevrolet,CNY
807,US,GMC,USD
808,CN,Cadillac,CNY
809,JP,Mercury,JPY
810,CN,Volvo,CNY
811,BR,Subaru,BRL
812,UA,Buick,UAH
813,MY,Dodge,MYR
814,TT,Pontiac,TTD
815,BA,Kia,BAM
816,ID,Kia,IDR
817,PS,Toyota,ILS
818,TK,Mazda,NZD
819,RU,GMC,RUB
820,EC,BMW,USD
821,PF,Toyota,XPF
822,CN,Infiniti,CNY
823,PT,Chrysler,EUR
824,UZ,Ford,UZS
825,ID,Cadillac,IDR
826,RU,Chevrolet,RUB
827,PH,Volvo,PHP
828,PE,Acura,PEN
829,VN,Mitsubishi,VND
830,BY,Hyundai,BYR
831,ID,Oldsmobile,IDR
832,CN,Jaguar,CNY
833,BR,Lexus,BRL
834,CD,Ford,CDF
835,CN,Pontiac,CNY
836,AL,Ford,ALL
837,PH,Infiniti,PHP
838,HR,Toyota,HRK
839,FR,Pontiac,EUR
840,BR,Volkswagen,BRL
841,ID,Chrysler,IDR
842,FR,Dodge,EUR
843,ID,Plymouth,IDR
844,CA,Nissan,CAD
845,TH,GMC,THB
846,PS,Suzuki,ILS
847,ID,Toyota,IDR
848,CO,Ford,COP
849,RU,Toyota,RUB
850,CI,Mazda,XOF
851,LY,Chevrolet,LYD
852,ID,Ford,IDR
853,MC,Suzuki,EUR
854,HN,Saturn,HNL
855,PH,Nissan,PHP
856,CO,Hyundai,COP
857,PH,Mitsubishi,PHP
858,RU,Lamborghini,RUB
859,HN,GMC,HNL
860,TK,Ford,NZD
861,ID,Ford,IDR
862,CN,Ford,CNY
863,CN,Lexus,CNY
864,IE,Lincoln,EUR
865,TJ,Merkur,TJS
866,CD,Cadillac,CDF
867,CN,Aston Martin,CNY
868,ID,Audi,IDR
869,RS,Nissan,RSD
870,PE,Chevrolet,PEN
871,MM,Ford,MMK
872,TZ,Saturn,TZS
873,CN,Toyota,CNY
874,SE,Volkswagen,SEK
875,KZ,Ford,KZT
876,MY,Toyota,MYR
877,CN,Ferrari,CNY
878,UA,Acura,UAH
879,MD,Infiniti,MDL
880,CA,Chrysler,CAD
881,BR,Ford,BRL
882,AR,Toyota,ARS
883,YE,Chevrolet,YER
884,GT,Ford,GTQ
885,CN,Chrysler,CNY
886,UA,Lexus,UAH
887,NO,Saturn,NOK
888,CN,Bentley,CNY
889,CZ,Daewoo,CZK
890,UA,Nissan,UAH
891,PT,Aston Martin,EUR
892,PT,Volvo,EUR
893,ID,Ford,IDR
894,ZA,Chevrolet,ZAR
895,SE,Chrysler,SEK
896,CN,Toyota,CNY
897,CN,Chevrolet,CNY
898,CZ,Ford,CZK
899,BA,Chevrolet,BAM
900,CZ,Ford,CZK
901,TH,Cadillac,THB
902,FR,Hyundai,EUR
903,CN,Infiniti,CNY
904,CA,Chevrolet,CAD
905,RU,Saab,RUB
906,AZ,Nissan,AZN
907,PH,Chevrolet,PHP
908,CN,Toyota,CNY
909,CA,Ford,CAD
910,PH,Pontiac,PHP
911,CN,Volkswagen,CNY
912,CN,Buick,CNY
913,CN,Volkswagen,CNY
914,GE,Cadillac,GEL
915,CN,Mercury,CNY
916,SE,Pontiac,SEK
917,ID,Lincoln,IDR
918,PH,Nissan,PHP
919,RU,Nissan,RUB
920,CU,Mercury,CUP
921,AR,Lexus,ARS
922,CN,Mitsubishi,CNY
923,RS,GMC,RSD
924,TH,GMC,THB
925,FR,Dodge,EUR
926,PT,Ford,EUR
927,ID,Dodge,IDR
928,PL,Nissan,PLN
929,PH,Volvo,PHP
930,BF,Chevrolet,XOF
931,RU,GMC,RUB
932,TH,Mercury,THB
933,UA,Lincoln,UAH
934,BR,Mercedes-Benz,BRL
935,PL,Dodge,PLN
936,PK,Ford,PKR
937,PT,Land Rover,EUR
938,ID,Acura,IDR
939,ID,Audi,IDR
940,AF,BMW,AFN
941,RU,Chevrolet,RUB
942,MA,Suzuki,MAD
943,CN,Ford,CNY
944,LV,Mercedes-Benz,EUR
945,ID,Chevrolet,IDR
946,CN,Nissan,CNY
947,CN,Ford,CNY
948,PK,Chrysler,PKR
949,CN,Mercedes-Benz,CNY
950,CN,Pontiac,CNY
951,CM,Ford,XAF
952,ID,Kia,IDR
953,ID,Scion,IDR
954,BO,Volkswagen,BOB
955,RU,Toyota,RUB
956,US,Chevrolet,USD
957,RU,Toyota,RUB
958,CN,Mitsubishi,CNY
959,RU,Chevrolet,RUB
960,PH,Toyota,PHP
961,LU,Mercedes-Benz,EUR
962,CA,Honda,CAD
963,UG,Suzuki,UGX
964,RU,Aston Martin,RUB
965,FR,Volkswagen,EUR
